iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level,source_model
13,0.39,149.02,5,3,5,0.42,0.57,1,0.65,0.15,0.3,0,0,18,0.0,0.65,0.34,0,0.74,0.7,0.23,chatgpt
1,-0.9,195.44,4,1,6,0.75,0.62,1,0.87,0.06,0.51,0,2,2,178.39,0.86,0.31,5,0.6,0.84,0.84,chatgpt
12,-0.76,126.1,5,1,4,0.16,0.56,1,0.79,0.58,0.04,0,1,13,0.0,0.89,0.22,4,0.66,0.75,0.72,chatgpt
10,0.87,262.85,2,2,9,0.22,0.19,1,0.78,0.24,0.4,0,10,20,837.37,0.65,0.69,2,0.3,0.74,0.5,chatgpt
0,-0.08,10.0,5,0,2,0.65,0.68,0,0.76,0.07,0.21,0,4,4,0.0,0.63,0.79,0,0.93,0.74,0.26,chatgpt
11,-0.43,122.68,4,2,4,0.67,0.78,0,0.71,0.61,0.99,0,10,16,331.56,0.61,0.76,4,0.01,0.76,0.16,chatgpt
3,0.88,174.88,2,2,5,0.41,0.36,0,0.37,0.12,0.11,0,8,4,977.53,0.6,0.67,4,0.27,0.4,0.15,chatgpt
10,-0.59,132.06,3,3,4,0.37,0.64,0,0.46,0.25,0.91,0,0,2,537.31,0.37,0.67,2,0.63,0.51,0.63,chatgpt
0,-0.33,33.28,2,2,1,0.55,0.99,1,0.71,0.16,0.44,0,6,17,857.71,0.44,0.47,0,0.01,0.66,0.28,chatgpt
17,-0.93,20.38,3,1,3,0.89,0.72,1,0.6,0.43,0.04,0,5,1,668.45,0.88,0.6,1,0.9,0.59,0.15,chatgpt
3,-0.29,121.78,5,3,4,0.54,0.66,1,0.73,0.97,0.75,0,3,5,0.0,0.47,0.43,1,0.98,0.81,0.38,chatgpt
0,-0.64,224.56,3,3,7,0.48,0.34,1,0.76,0.8,0.86,0,3,8,564.54,0.85,0.83,5,0.16,0.74,0.21,chatgpt
12,0.74,50.71,4,1,2,0.83,0.67,1,0.95,0.2,0.92,0,5,9,350.33,0.19,0.48,1,0.82,0.98,0.67,chatgpt
0,0.32,184.66,4,2,4,0.45,0.73,1,0.57,0.28,0.07,0,4,11,315.59,0.73,0.82,3,0.64,0.49,0.95,chatgpt
10,0.88,231.61,1,2,9,0.66,0.22,1,0.76,0.18,0.96,0,4,1,1256.07,0.74,0.64,3,0.11,0.81,0.87,chatgpt
10,-0.13,169.43,5,0,6,0.6,0.52,0,0.63,0.39,0.58,0,4,1,46.47,0.16,0.24,0,0.71,0.58,0.39,chatgpt
17,0.37,288.32,2,2,9,0.53,0.2,1,0.89,0.43,0.95,0,5,19,920.45,0.44,0.4,0,0.31,0.94,0.15,chatgpt
16,-0.38,142.17,4,2,5,0.91,0.6,1,0.77,0.4,0.3,0,2,6,290.35,0.85,0.68,3,0.42,0.81,0.65,chatgpt
19,0.14,133.6,4,0,3,0.55,0.72,0,0.66,0.3,0.21,0,9,19,234.47,0.55,0.46,3,0.65,0.67,0.88,chatgpt
14,0.35,275.01,5,3,8,0.17,0.5,1,0.86,0.79,0.96,1,2,2,0.0,0.55,0.36,10,0.28,0.84,0.17,chatgpt
10,-0.81,353.88,2,2,10,0.71,0.22,1,0.66,0.22,0.2,0,0,1,898.74,0.44,0.74,3,0.24,0.75,0.64,chatgpt
2,-0.09,307.2,5,1,10,0.58,0.2,0,0.66,0.72,0.38,0,6,7,24.03,0.72,0.58,5,0.15,0.63,0.54,chatgpt
3,0.56,31.39,2,1,1,0.49,1.0,0,0.78,0.8,0.7,1,7,1,872.78,0.49,0.29,5,0.56,0.79,0.07,chatgpt
4,0.6,251.01,5,2,8,0.89,0.28,1,0.88,0.95,0.89,0,9,16,0.0,0.53,0.76,4,0.43,0.87,0.63,chatgpt
5,0.49,238.63,4,3,8,0.39,0.36,1,0.36,0.26,0.25,0,10,8,310.84,0.62,0.54,4,0.77,0.38,0.81,chatgpt
20,-0.52,238.51,4,0,8,0.55,0.33,0,0.82,0.71,0.23,0,5,10,265.38,0.09,0.28,0,0.89,0.82,0.3,chatgpt
4,-0.54,135.1,2,1,3,0.45,0.84,0,0.82,0.06,0.41,0,8,14,849.94,0.72,0.78,1,0.42,0.77,0.38,chatgpt
12,0.81,220.74,5,0,7,0.37,0.52,0,0.76,0.86,0.77,0,6,15,0.0,0.75,0.39,2,0.01,0.87,0.21,chatgpt
12,0.71,151.14,4,1,5,0.8,0.6,1,0.93,0.49,0.27,1,7,0,366.7,0.74,0.54,10,0.39,0.91,0.69,chatgpt
5,0.68,263.42,2,0,7,0.12,0.48,0,0.52,0.91,0.59,0,10,0,836.48,0.45,0.44,3,0.08,0.49,0.67,chatgpt
14,-0.64,79.13,3,3,3,0.12,0.64,0,0.66,0.33,0.45,1,5,12,511.85,0.81,0.8,8,0.28,0.66,0.5,chatgpt
2,-0.06,186.68,5,0,5,0.61,0.69,0,0.7,1.0,0.35,0,10,2,3.93,0.23,0.59,5,0.78,0.65,0.48,chatgpt
0,0.9,10.0,2,0,1,0.4,0.94,0,0.73,0.62,0.24,0,7,3,912.15,0.47,0.74,1,0.56,0.75,0.11,chatgpt
8,0.53,270.15,2,0,8,0.33,0.31,1,0.72,0.78,0.16,0,4,3,895.77,0.8,0.24,2,0.58,0.76,0.32,chatgpt
12,-0.21,235.4,2,0,10,0.5,0.18,1,0.99,0.59,0.83,0,3,3,806.16,0.2,0.99,2,0.7,1.0,0.52,chatgpt
3,0.59,292.42,5,0,10,0.37,0.21,0,0.81,0.35,0.43,0,5,2,19.84,0.68,0.47,2,0.51,0.71,0.45,chatgpt
13,0.64,10.0,1,3,1,0.46,1.0,0,0.69,0.96,0.64,0,7,4,1176.98,0.67,0.36,5,0.44,0.69,0.74,chatgpt
20,-0.46,336.68,5,3,9,0.73,0.13,1,0.62,0.46,0.83,0,9,8,0.0,0.66,0.21,1,0.32,0.69,0.08,chatgpt
8,0.76,108.85,2,3,2,0.35,0.72,0,0.62,0.57,0.67,0,5,0,887.13,0.94,0.83,2,0.49,0.54,0.56,chatgpt
15,-0.58,69.57,3,2,3,0.08,0.77,1,0.79,0.28,0.6,0,4,17,636.65,0.77,0.55,1,0.01,0.72,0.56,chatgpt
7,0.44,36.42,4,1,2,0.09,0.7,0,0.43,0.69,0.65,0,7,14,283.06,0.77,0.37,0,0.79,0.43,0.86,chatgpt
7,-0.19,139.41,2,2,5,0.24,0.69,1,0.98,0.66,0.37,0,8,16,833.52,0.5,0.51,5,0.34,0.98,0.9,chatgpt
10,-0.3,315.92,4,2,9,0.43,0.37,0,0.8,0.31,0.23,1,3,10,288.78,0.42,0.74,9,0.12,0.78,0.26,chatgpt
6,-0.57,74.79,4,2,3,0.74,0.63,1,0.76,0.72,0.98,0,8,19,248.18,0.83,0.3,0,0.28,0.8,0.3,chatgpt
9,-0.55,115.24,2,2,4,0.64,0.78,1,0.68,0.01,0.53,0,4,1,784.04,0.25,0.38,4,0.97,0.73,0.41,chatgpt
4,0.28,152.66,4,0,5,0.44,0.76,1,0.44,0.87,0.57,0,7,15,345.89,0.63,0.34,1,0.44,0.47,0.48,chatgpt
8,0.88,10.0,4,0,1,0.24,0.94,1,0.52,0.82,0.4,0,1,18,313.39,0.51,0.29,0,0.63,0.6,0.07,chatgpt
4,0.62,94.43,3,0,3,0.59,0.78,0,0.64,0.99,0.12,0,6,19,600.55,0.86,0.6,4,0.6,0.6,0.7,chatgpt
16,-0.24,129.26,4,2,4,0.2,0.84,1,0.75,0.86,0.99,0,4,18,226.79,0.75,0.83,4,0.62,0.74,0.67,chatgpt
6,0.25,26.69,3,0,2,0.87,0.75,1,0.76,0.16,0.17,0,1,5,587.23,0.48,0.35,3,0.0,0.66,0.09,chatgpt
15,-0.42,283.07,2,2,10,0.44,0.19,1,0.74,0.71,0.7,0,7,2,863.83,0.68,0.52,2,0.69,0.7,0.79,chatgpt
6,-0.15,273.42,5,1,10,0.58,0.32,1,0.83,0.65,0.91,1,2,2,0.0,0.9,0.57,7,0.06,0.84,0.62,chatgpt
18,0.84,252.16,4,0,10,0.72,0.15,1,0.91,0.47,0.3,0,6,8,307.77,0.54,0.46,3,0.5,0.93,0.61,chatgpt
2,0.2,224.22,4,2,8,0.75,0.33,1,0.75,0.6,0.03,0,3,18,257.8,0.86,0.28,0,0.59,0.74,0.52,chatgpt
18,-0.92,148.93,2,3,5,0.35,0.54,1,0.77,0.52,0.44,0,4,5,882.97,0.92,0.0,3,1.0,0.8,0.16,chatgpt
2,-0.06,281.92,4,2,8,0.38,0.34,0,0.75,0.32,0.1,0,2,10,292.75,0.47,0.49,3,0.41,0.68,0.38,chatgpt
12,0.63,245.79,5,0,5,0.36,0.71,1,0.29,0.45,0.31,1,5,3,38.27,0.5,0.33,8,0.97,0.34,0.72,chatgpt
0,0.32,253.6,5,3,9,0.42,0.2,1,0.63,0.41,0.19,1,5,19,0.29,0.66,0.26,10,0.76,0.66,0.27,chatgpt
1,-0.59,317.69,5,1,8,0.57,0.25,0,0.67,0.93,0.44,0,7,3,0.0,0.39,0.4,5,0.03,0.66,0.47,chatgpt
7,0.42,254.45,3,0,10,0.29,0.29,0,0.87,0.55,0.09,0,1,14,602.21,0.4,0.11,5,0.95,0.85,0.43,chatgpt
15,0.87,95.39,3,2,3,0.53,0.63,0,0.74,0.42,0.48,1,7,7,588.65,0.71,0.48,6,0.46,0.73,0.38,chatgpt
6,0.84,236.66,5,1,7,0.69,0.36,0,0.62,0.86,0.28,0,6,10,0.0,0.22,0.59,4,0.93,0.53,0.67,chatgpt
0,-0.43,144.94,3,3,5,0.7,0.51,1,0.61,0.87,0.45,0,7,11,608.66,0.91,0.13,4,0.33,0.64,0.61,chatgpt
14,0.87,179.57,2,1,7,0.29,0.49,1,0.75,0.57,0.23,0,6,1,869.35,0.63,0.46,3,0.32,0.86,0.31,chatgpt
12,0.98,232.8,2,3,7,0.36,0.53,0,0.85,0.96,0.13,0,9,10,865.07,0.74,0.2,3,0.87,0.9,0.67,chatgpt
16,0.82,64.35,1,1,2,0.3,0.77,0,0.7,0.41,0.65,0,2,2,1143.58,0.59,0.54,2,0.47,0.73,0.74,chatgpt
19,0.39,190.85,1,2,6,0.48,0.33,0,0.56,0.85,0.86,1,6,10,1175.55,0.89,0.68,8,0.63,0.52,0.24,chatgpt
1,0.23,215.42,2,2,9,0.06,0.18,0,0.39,1.0,0.75,0,6,3,842.49,0.65,0.47,5,0.76,0.34,0.22,chatgpt
14,-0.67,108.47,3,0,2,0.5,1.0,0,0.8,0.05,0.8,1,4,11,521.09,0.61,0.82,6,0.37,0.79,0.44,chatgpt
16,-0.18,73.81,2,1,4,0.93,0.52,0,0.82,0.18,0.61,0,6,19,820.33,0.58,0.69,3,0.68,0.77,0.04,chatgpt
4,-0.54,272.42,3,3,10,0.85,0.2,1,0.42,0.26,0.01,0,7,9,589.29,0.76,0.42,1,0.68,0.34,0.24,chatgpt
14,0.89,59.6,5,2,2,0.37,0.87,1,0.87,0.64,0.42,1,4,14,0.0,0.8,0.73,6,0.85,1.0,0.36,chatgpt
15,-0.79,121.79,4,2,7,0.62,0.61,0,0.85,0.57,0.99,0,4,0,261.22,0.61,0.6,5,0.98,0.89,0.69,chatgpt
8,-0.98,186.99,1,3,7,0.33,0.44,0,0.8,0.83,0.9,0,3,19,1182.43,0.59,0.46,1,0.8,0.8,0.84,chatgpt
19,-0.5,97.12,2,0,4,0.67,0.65,1,0.47,0.9,0.65,0,4,14,821.27,0.63,0.54,2,0.03,0.48,0.27,chatgpt
2,0.82,106.78,3,3,3,0.82,0.79,0,0.82,0.18,0.13,0,8,11,559.61,0.79,0.73,2,0.53,0.82,0.36,chatgpt
8,0.83,115.53,4,2,3,0.59,0.74,1,0.43,0.75,0.34,0,1,14,349.81,0.59,0.62,1,0.96,0.48,0.63,chatgpt
12,0.93,116.25,5,2,4,0.12,0.61,1,0.76,0.09,0.39,0,4,17,33.52,0.59,0.42,2,0.12,0.87,0.18,chatgpt
18,-0.24,140.14,3,0,5,0.42,0.64,0,0.86,0.67,0.47,0,9,17,526.28,0.17,0.5,4,0.33,0.85,0.19,chatgpt
20,-0.87,126.49,4,2,4,0.55,0.71,0,0.61,0.65,0.12,0,0,1,226.04,0.22,0.23,3,0.3,0.57,0.49,chatgpt
3,-0.53,56.9,5,1,2,0.23,0.67,1,0.7,0.39,0.37,0,8,13,0.0,0.62,0.28,5,0.59,0.64,0.8,chatgpt
13,0.31,137.34,4,3,3,0.52,0.73,1,0.91,0.94,0.28,0,5,6,207.62,0.74,0.54,1,0.44,0.9,0.26,chatgpt
3,0.96,137.28,3,2,6,0.32,0.47,0,0.46,0.06,0.28,0,1,14,542.9,0.67,0.86,1,0.09,0.47,0.25,chatgpt
0,-0.9,335.26,3,1,10,0.39,0.14,1,0.82,0.99,0.79,1,3,2,552.5,0.66,0.4,9,0.83,0.77,0.56,chatgpt
18,-0.57,100.52,2,2,4,0.81,0.8,0,0.34,0.77,0.79,1,9,0,908.63,0.29,0.5,6,0.28,0.24,0.27,chatgpt
17,-0.5,84.32,2,0,3,0.3,0.95,1,0.63,0.66,0.03,0,0,11,791.44,0.72,0.29,1,0.79,0.61,0.34,chatgpt
10,-0.97,267.87,3,0,10,0.76,0.18,0,0.83,0.13,0.42,0,1,2,539.42,0.33,0.27,2,0.48,0.83,0.27,chatgpt
18,-0.78,256.19,5,1,9,0.94,0.14,0,0.81,0.95,0.04,0,10,16,5.27,0.22,0.51,5,0.3,0.84,0.22,chatgpt
1,1.0,24.5,4,3,1,0.37,1.0,0,0.84,0.69,0.49,0,7,2,340.91,0.73,0.63,2,0.9,0.78,0.69,chatgpt
4,-0.87,298.19,3,2,10,0.81,0.21,1,0.85,0.38,0.6,0,4,14,645.34,0.5,0.28,3,0.51,0.86,0.16,chatgpt
3,0.71,78.51,5,1,2,0.6,0.84,1,0.7,0.43,0.89,0,6,10,0.0,0.88,0.75,3,0.83,0.78,0.63,chatgpt
3,-0.37,255.61,3,2,7,0.55,0.37,0,0.57,0.37,0.15,1,7,2,545.33,0.26,0.33,5,0.09,0.65,0.56,chatgpt
13,-0.81,29.88,3,1,2,0.28,0.82,1,0.74,0.56,0.59,0,8,17,497.25,0.57,0.55,0,0.33,0.68,0.41,chatgpt
11,0.75,211.31,4,0,7,0.8,0.39,0,0.63,0.97,0.6,0,5,3,280.95,0.63,0.84,1,0.58,0.59,0.18,chatgpt
15,-0.55,131.44,1,2,3,0.75,0.79,1,0.68,0.85,0.37,0,4,18,1232.75,0.66,0.59,3,0.23,0.64,0.18,chatgpt
19,0.23,264.45,5,0,9,0.4,0.19,1,0.83,0.61,0.66,0,4,0,0.0,0.86,0.61,5,0.18,0.94,0.65,chatgpt
10,-0.3,175.79,2,1,5,0.6,0.51,1,0.86,0.57,0.4,0,2,20,891.14,0.34,0.69,0,0.97,0.85,0.53,chatgpt
6,-0.25,301.47,4,2,9,0.22,0.2,1,0.85,0.16,0.31,0,5,18,180.99,0.37,0.53,0,0.6,0.9,0.24,chatgpt
5,0.51,56.07,1,0,3,0.46,0.65,1,0.88,0.27,0.66,0,7,19,1157.29,0.66,0.39,2,0.44,0.82,0.44,chatgpt
16,-0.77,152.58,4,0,4,0.77,0.77,1,0.48,0.28,0.68,0,7,16,248.53,0.81,0.47,0,0.67,0.46,0.59,chatgpt
12,0.97,118.49,1,0,4,0.61,0.87,1,0.86,0.2,0.95,0,2,8,1140.05,0.87,0.49,0,0.29,0.92,0.29,chatgpt
15,0.49,24.18,2,1,1,0.24,0.85,0,0.74,0.38,0.7,0,8,17,833.12,0.83,0.46,2,0.83,0.73,0.71,chatgpt
12,0.72,80.05,1,3,2,0.56,0.97,1,0.67,0.02,0.92,0,5,18,1159.54,0.56,0.56,3,0.43,0.7,0.58,chatgpt
9,-0.77,180.37,1,2,7,0.59,0.51,1,0.82,0.17,0.95,0,7,11,1128.03,0.81,0.69,0,0.09,0.83,0.24,chatgpt
13,0.18,136.6,5,0,4,0.48,0.57,0,0.73,0.4,0.31,0,5,7,0.0,0.73,0.19,1,0.33,0.76,0.13,chatgpt
16,0.27,45.93,5,1,2,0.33,0.9,0,0.9,0.91,0.35,0,10,4,0.0,0.84,0.26,1,0.24,0.9,0.51,chatgpt
6,-0.65,189.87,2,0,5,0.74,0.69,1,0.85,0.18,0.77,0,7,14,796.3,0.46,0.08,4,0.75,0.93,0.59,chatgpt
18,0.29,275.69,5,2,8,0.63,0.45,0,0.68,0.86,0.63,1,2,14,0.0,0.34,0.69,8,0.07,0.7,0.34,chatgpt
8,0.18,175.62,3,0,5,0.83,0.49,0,0.34,0.31,0.45,1,0,11,535.63,0.8,0.62,5,0.83,0.42,0.43,chatgpt
19,0.19,68.66,4,3,2,0.71,0.84,1,0.72,0.58,0.95,0,0,14,279.12,0.65,0.16,4,0.91,0.69,0.68,chatgpt
10,0.21,88.74,5,1,4,0.19,0.8,1,0.69,0.96,0.45,0,5,2,67.6,0.62,1.0,1,0.5,0.65,0.13,chatgpt
7,0.42,10.0,4,1,1,0.34,0.68,1,0.57,0.36,0.92,0,6,13,263.03,0.81,0.42,5,0.77,0.51,0.92,chatgpt
1,0.58,272.27,3,0,10,0.07,0.19,1,0.5,0.33,0.56,0,6,9,511.42,0.76,0.39,5,0.25,0.44,0.61,chatgpt
4,-0.33,284.03,5,1,10,0.7,0.29,1,0.89,0.92,0.31,0,10,12,26.95,0.59,0.47,5,0.13,0.87,0.26,chatgpt
9,0.12,32.71,3,1,2,0.88,0.77,1,0.56,0.67,0.83,0,10,16,645.42,0.49,0.53,5,0.09,0.53,0.08,chatgpt
16,-0.28,236.6,3,2,7,0.93,0.21,1,0.67,0.18,0.21,1,7,6,555.19,0.22,0.38,6,0.23,0.63,0.24,chatgpt
2,-0.41,92.94,1,0,3,0.24,0.88,1,0.71,0.66,0.88,1,9,4,1201.27,0.79,0.32,6,0.6,0.79,0.49,chatgpt
5,0.66,121.15,5,1,3,0.63,0.69,0,0.68,0.72,0.04,0,5,7,16.2,0.43,0.6,4,0.97,0.62,0.82,chatgpt
14,-0.53,121.53,2,2,5,0.7,0.76,1,0.93,0.97,0.78,0,3,11,811.17,0.79,0.14,4,0.68,0.9,0.41,chatgpt
14,0.54,191.26,4,3,8,0.37,0.42,0,0.59,0.97,0.82,0,9,4,205.26,0.37,0.6,0,0.87,0.63,0.12,chatgpt
11,0.11,258.06,1,0,8,0.92,0.16,1,0.72,0.29,0.76,0,4,14,1081.18,0.53,0.41,1,0.91,0.81,0.1,chatgpt
2,0.89,207.95,2,3,7,0.71,0.33,0,0.71,0.88,0.93,0,6,1,854.66,0.36,0.27,2,0.4,0.73,0.43,chatgpt
12,0.99,133.41,3,1,4,0.42,0.69,1,0.59,0.03,0.93,0,10,10,497.93,0.81,0.34,1,0.79,0.57,0.48,chatgpt
9,0.83,10.0,4,1,1,0.36,0.89,1,0.8,0.76,0.47,1,9,0,359.47,0.85,0.83,5,0.91,0.87,0.36,chatgpt
6,0.67,142.54,5,3,5,0.47,0.66,0,0.97,0.11,0.29,0,4,3,75.38,0.33,0.62,3,0.05,1.0,0.78,chatgpt
14,-0.87,338.47,4,0,10,0.8,0.28,1,0.25,0.63,0.58,0,2,9,264.2,0.52,0.27,4,0.43,0.32,0.47,chatgpt
7,0.14,169.26,2,0,6,0.38,0.51,0,0.71,0.52,0.36,0,8,17,881.22,0.44,0.3,4,0.51,0.71,0.32,chatgpt
0,-0.22,252.28,4,0,9,0.71,0.32,1,0.61,0.64,0.98,0,4,0,249.25,0.74,0.63,0,0.36,0.64,0.02,chatgpt
7,0.47,189.4,1,2,6,0.28,0.42,1,0.87,0.13,0.35,1,5,20,1178.17,0.76,0.35,10,0.18,0.9,0.83,chatgpt
15,0.26,254.45,2,0,8,0.88,0.26,0,0.63,0.72,0.94,0,0,9,772.7,0.17,0.73,1,0.2,0.62,0.5,chatgpt
10,0.87,42.76,5,3,1,0.22,0.98,1,0.54,0.99,0.54,0,4,1,0.0,0.89,0.64,1,0.75,0.62,0.84,chatgpt
11,0.72,182.19,1,2,5,0.89,0.62,1,0.71,0.27,0.8,0,6,12,1138.37,0.98,0.54,3,0.74,0.71,0.48,chatgpt
5,-0.01,208.14,4,2,6,0.36,0.52,0,0.77,0.92,0.52,0,1,13,293.56,0.57,0.53,4,0.08,0.68,0.82,chatgpt
17,-0.41,124.95,1,0,3,0.07,0.63,1,0.61,0.33,0.3,0,7,19,1165.84,0.55,0.62,1,0.72,0.59,0.98,chatgpt
11,-0.11,266.29,3,3,8,0.19,0.31,0,0.79,0.27,0.98,0,0,2,528.72,0.25,0.54,3,0.67,0.87,0.16,chatgpt
16,0.6,204.59,2,0,6,0.67,0.38,0,0.58,0.14,0.61,0,7,1,861.3,0.63,0.52,1,0.13,0.57,0.72,chatgpt
11,-0.23,179.93,5,0,6,0.17,0.44,0,0.78,0.61,0.68,0,5,11,0.0,0.41,0.29,0,0.44,0.71,0.47,chatgpt
4,0.06,282.63,4,2,10,0.45,0.11,0,0.91,0.65,0.25,1,1,0,230.33,0.35,0.69,8,0.74,0.91,0.14,chatgpt
12,0.83,282.01,1,2,9,0.74,0.26,1,0.74,0.77,0.7,0,3,19,1115.59,0.68,0.72,3,0.29,0.77,0.36,chatgpt
3,-0.73,96.25,1,3,4,0.64,0.66,1,0.57,0.17,0.71,1,1,10,1265.57,0.69,0.68,10,0.67,0.59,0.62,chatgpt
17,0.08,121.41,3,1,2,0.34,0.77,0,0.51,0.71,0.93,0,10,5,561.33,0.29,0.58,4,0.79,0.52,0.78,chatgpt
3,0.97,74.35,2,1,4,0.41,0.84,1,0.57,0.79,0.03,0,8,18,891.71,0.32,0.26,4,0.37,0.64,0.56,chatgpt
19,0.77,52.35,1,2,3,0.43,0.51,1,0.34,0.4,0.72,0,7,16,1179.35,0.59,0.23,3,0.41,0.43,0.27,chatgpt
2,-0.75,250.87,3,0,10,0.53,0.18,1,0.64,0.45,0.68,0,5,4,664.51,0.17,0.52,4,0.88,0.58,0.77,chatgpt
5,0.54,252.07,2,3,10,0.54,0.23,0,0.82,0.5,0.87,1,1,16,866.56,0.45,0.39,6,0.15,0.82,0.18,chatgpt
10,0.87,94.79,2,2,3,0.68,0.71,1,0.75,0.95,0.52,0,4,2,849.82,0.91,0.73,5,0.25,0.7,0.15,chatgpt
8,-0.75,232.83,3,0,9,0.24,0.37,0,0.5,0.5,0.17,0,9,4,556.09,0.45,1.0,4,0.17,0.57,0.55,chatgpt
10,0.69,273.26,5,0,10,0.33,0.16,1,0.73,0.83,0.03,0,0,20,9.24,0.7,0.53,2,0.77,0.78,0.79,chatgpt
18,-0.17,100.85,1,3,4,0.75,0.51,0,0.38,0.89,0.55,0,10,9,1218.85,0.43,0.2,5,0.48,0.36,0.55,chatgpt
9,-0.09,201.7,1,1,7,0.48,0.46,0,0.48,0.44,0.48,0,3,10,1067.37,0.66,0.65,2,0.61,0.44,0.83,chatgpt
11,0.95,171.48,2,2,6,0.07,0.5,1,0.89,0.51,0.11,0,3,14,869.47,0.55,0.55,3,0.12,0.86,0.4,chatgpt
4,-0.81,149.71,3,3,4,0.31,0.61,0,0.61,0.86,0.42,1,2,10,637.49,0.83,0.7,10,0.93,0.55,0.21,chatgpt
6,0.53,142.26,4,3,6,0.26,0.58,1,0.81,0.5,0.31,0,0,2,277.81,0.92,0.42,4,0.95,0.81,0.19,chatgpt
7,-0.57,251.36,3,0,8,0.32,0.37,1,0.4,0.05,0.49,0,10,15,529.59,0.59,0.7,0,0.29,0.39,0.28,chatgpt
13,-0.73,61.18,3,2,2,0.24,0.56,0,0.74,0.76,0.37,0,6,1,486.68,0.41,0.26,1,0.57,0.66,0.06,chatgpt
