```
user_id,task_id,task_complexity,time_to_completion,confidence_level,engagement_depth,vocabulary_expansion_count,knowledge_transfer_success,practice_repetitions,feedback_revision_delay,attention_span_duration,distraction_count,motivation_level,prior_knowledge_level,learning_rate,retention_rate,application_success_rate,problem_solving_efficiency,creativity_score,surprise_tolerance_score,self_evaluation_score,emotional_consistency_score,curiosity_score,consistency_score,intentional_error_flag,self_explanation_count
17,17,0.6,34.1,0.75,0.7,12,0.75,4,2.6,23.9,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
18,18,0.8,43.7,0.6,0.65,10,0.65,5,3.5,22.5,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
19,19,0.3,17.0,0.95,0.95,17,0.95,2,1.2,34.9,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
20,20,0.7,39.2,0.65,0.7,11,0.75,5,3.2,24.3,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
21,21,0.5,24.8,0.8,0.85,13,0.85,3,1.6,29.5,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
22,22,0.9,49.1,0.55,0.6,8,0.6,6,4.2,20.8,4,0.6,0.4,0.6,0.75,0.65,0.55,0.5,0.65,0.7,0.8,0.7,0.75,1,5
23,23,0.4,18.3,0.9,0.9,16,0.9,2,1.3,33.1,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
24,24,0.6,32.9,0.75,0.7,12,0.75,4,2.4,24.1,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
25,25,0.8,44.5,0.6,0.65,10,0.65,5,3.3,22.7,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
26,26,0.3,16.2,0.95,0.95,17,0.95,2,1.1,35.0,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
27,27,0.7,38.9,0.65,0.7,11,0.75,5,3.0,24.5,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
28,28,0.5,24.1,0.85,0.85,14,0.85,3,1.7,29.3,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
29,29,0.9,48.2,0.55,0.65,9,0.65,6,4.0,21.4,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
30,30,0.4,19.0,0.9,0.9,16,0.9,2,1.4,32.9,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
31,31,0.6,33.5,0.75,0.7,12,0.75,4,2.5,24.0,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
32,32,0.8,43.1,0.6,0.65,10,0.65,5,3.4,22.6,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
33,33,0.3,16.8,0.95,0.95,17,0.95,2,1.1,34.8,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
34,34,0.7,39.0,0.65,0.7,11,0.75,5,3.0,24.4,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
35,35,0.5,24.3,0.85,0.85,14,0.85,3,1.7,29.2,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
36,36,0.9,48.0,0.55,0.65,9,0.65,6,4.0,21.5,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
37,37,0.4,18.9,0.9,0.9,16,0.9,2,1.4,32.7,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
38,38,0.6,33.8,0.75,0.7,12,0.75,4,2.5,24.2,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
39,39,0.8,43.3,0.6,0.65,10,0.65,5,3.4,22.8,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
40,40,0.3,16.7,0.95,0.95,17,0.95,2,1.1,34.6,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
41,41,0.7,38.8,0.65,0.7,11,0.75,5,3.0,24.6,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
42,42,0.5,24.2,0.85,0.85,14,0.85,3,1.7,29.4,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
43,43,0.9,48.3,0.55,0.65,9,0.65,6,4.0,21.6,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
44,44,0.4,19.1,0.9,0.9,16,0.9,2,1.4,32.6,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
45,45,0.6,33.7,0.75,0.7,12,0.75,4,2.5,24.3,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
46,46,0.8,43.2,0.6,0.65,10,0.65,5,3.4,22.9,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
47,47,0.3,16.6,0.95,0.95,17,0.95,2,1.1,34.5,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
48,48,0.7,38.7,0.65,0.7,11,0.75,5,3.0,24.7,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
49,49,0.5,24.4,0.85,0.85,14,0.85,3,1.7,29.5,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
50,50,0.9,48.4,0.55,0.65,9,0.65,6,4.0,21.7,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
51,51,0.4,19.3,0.9,0.9,16,0.9,2,1.4,32.5,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
52,52,0.6,33.6,0.75,0.7,12,0.75,4,2.5,24.4,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
53,53,0.8,43.4,0.6,0.65,10,0.65,5,3.4,23.0,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
54,54,0.3,16.5,0.95,0.95,17,0.95,2,1.1,34.4,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
55,55,0.7,38.6,0.65,0.7,11,0.75,5,3.0,24.8,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
56,56,0.5,24.5,0.85,0.85,14,0.85,3,1.7,29.6,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
57,57,0.9,48.5,0.55,0.65,9,0.65,6,4.0,21.8,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
58,58,0.4,19.4,0.9,0.9,16,0.9,2,1.4,32.4,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
59,59,0.6,33.5,0.75,0.7,12,0.75,4,2.5,24.5,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
60,60,0.8,43.5,0.6,0.65,10,0.65,5,3.4,23.1,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
61,61,0.3,16.4,0.95,0.95,17,0.95,2,1.1,34.3,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
62,62,0.7,38.5,0.65,0.7,11,0.75,5,3.0,24.9,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
63,63,0.5,24.6,0.85,0.85,14,0.85,3,1.7,29.7,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
64,64,0.9,48.6,0.55,0.65,9,0.65,6,4.0,21.9,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
65,65,0.4,19.5,0.9,0.9,16,0.9,2,1.4,32.3,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
66,66,0.6,33.4,0.75,0.7,12,0.75,4,2.5,24.6,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
67,67,0.8,43.6,0.6,0.65,10,0.65,5,3.4,23.2,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
68,68,0.3,16.3,0.95,0.95,17,0.95,2,1.1,34.2,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
69,69,0.7,38.4,0.65,0.7,11,0.75,5,3.0,25.0,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
70,70,0.5,24.7,0.85,0.85,14,0.85,3,1.7,29.8,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
71,71,0.9,48.7,0.55,0.65,9,0.65,6,4.0,22.0,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
72,72,0.4,19.6,0.9,0.9,16,0.9,2,1.4,32.2,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
73,73,0.6,33.3,0.75,0.7,12,0.75,4,2.5,24.7,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
74,74,0.8,43.7,0.6,0.65,10,0.65,5,3.4,23.3,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
75,75,0.3,16.2,0.95,0.95,17,0.95,2,1.1,34.1,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
76,76,0.7,38.3,0.65,0.7,11,0.75,5,3.0,25.1,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
77,77,0.5,24.8,0.85,0.85,14,0.85,3,1.7,29.9,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
78,78,0.9,48.8,0.55,0.65,9,0.65,6,4.0,22.1,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
79,79,0.4,19.7,0.9,0.9,16,0.9,2,1.4,32.1,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
80,80,0.6,33.2,0.75,0.7,12,0.75,4,2.5,24.8,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
81,81,0.8,43.8,0.6,0.65,10,0.65,5,3.4,23.4,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
82,82,0.3,16.1,0.95,0.95,17,0.95,2,1.1,34.0,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
83,83,0.7,38.2,0.65,0.7,11,0.75,5,3.0,25.2,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
84,84,0.5,24.9,0.85,0.85,14,0.85,3,1.7,30.0,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
85,85,0.9,48.9,0.55,0.65,9,0.65,6,4.0,22.2,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
86,86,0.4,19.8,0.9,0.9,16,0.9,2,1.4,32.0,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
87,87,0.6,33.1,0.75,0.7,12,0.75,4,2.5,24.9,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
88,88,0.8,43.9,0.6,0.65,10,0.65,5,3.4,23.5,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
89,89,0.3,16.0,0.95,0.95,17,0.95,2,1.1,33.9,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
90,90,0.7,38.1,0.65,0.7,11,0.75,5,3.0,25.3,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
91,91,0.5,25.0,0.85,0.85,14,0.85,3,1.7,30.1,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
92,92,0.9,49.0,0.55,0.65,9,0.65,6,4.0,22.3,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
93,93,0.4,19.9,0.9,0.9,16,0.9,2,1.4,31.9,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
94,94,0.6,33.0,0.75,0.7,12,0.75,4,2.5,25.0,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
95,95,0.8,44.0,0.6,0.65,10,0.65,5,3.4,23.6,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
96,96,0.3,15.9,0.95,0.95,17,0.95,2,1.1,33.8,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
97,97,0.7,38.0,0.65,0.7,11,0.75,5,3.0,25.4,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
98,98,0.5,25.1,0.85,0.85,14,0.85,3,1.7,30.2,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
99,99,0.9,49.1,0.55,0.65,9,0.65,6,4.0,22.4,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
100,100,0.4,20.0,0.9,0.9,16,0.9,2,1.4,31.8,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
101,101,0.6,32.9,0.75,0.7,12,0.75,4,2.5,25.1,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
102,102,0.8,44.1,0.6,0.65,10,0.65,5,3.4,23.7,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
103,103,0.3,15.8,0.95,0.95,17,0.95,2,1.1,33.7,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
104,104,0.7,37.9,0.65,0.7,11,0.75,5,3.0,25.5,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
105,105,0.5,25.2,0.85,0.85,14,0.85,3,1.7,30.3,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
106,106,0.9,49.2,0.55,0.65,9,0.65,6,4.0,22.5,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
107,107,0.4,20.1,0.9,0.9,16,0.9,2,1.4,31.7,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
108,108,0.6,32.8,0.75,0.7,12,0.75,4,2.5,25.2,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
109,109,0.8,44.2,0.6,0.65,10,0.65,5,3.4,23.8,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
110,110,0.3,15.7,0.95,0.95,17,0.95,2,1.1,33.6,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
111,111,0.7,37.8,0.65,0.7,11,0.75,5,3.0,25.6,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
112,112,0.5,25.3,0.85,0.85,14,0.85,3,1.7,30.4,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
113,113,0.9,49.3,0.55,0.65,9,0.65,6,4.0,22.6,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
114,114,0.4,20.2,0.9,0.9,16,0.9,2,1.4,31.6,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
115,115,0.6,32.7,0.75,0.7,12,0.75,4,2.5,25.3,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
116,116,0.8,44.3,0.6,0.65,10,0.65,5,3.4,23.9,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
117,117,0.3,15.6,0.95,0.95,17,0.95,2,1.1,33.5,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
118,118,0.7,37.7,0.65,0.7,11,0.75,5,3.0,25.7,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
119,119,0.5,25.4,0.85,0.85,14,0.85,3,1.7,30.5,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
120,120,0.9,49.4,0.55,0.65,9,0.65,6,4.0,22.7,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
121,121,0.4,20.3,0.9,0.9,16,0.9,2,1.4,31.5,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
122,122,0.6,32.6,0.75,0.7,12,0.75,4,2.5,25.4,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
123,123,0.8,44.4,0.6,0.65,10,0.65,5,3.4,24.0,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
124,124,0.3,15.5,0.95,0.95,17,0.95,2,1.1,33.4,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
125,125,0.7,37.6,0.65,0.7,11,0.75,5,3.0,25.8,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
126,126,0.5,25.5,0.85,0.85,14,0.85,3,1.7,30.6,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
127,127,0.9,49.5,0.55,0.65,9,0.65,6,4.0,22.8,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
128,128,0.4,20.4,0.9,0.9,16,0.9,2,1.4,31.4,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
129,129,0.6,32.5,0.75,0.7,12,0.75,4,2.5,25.5,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
130,130,0.8,44.5,0.6,0.65,10,0.65,5,3.4,24.1,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
131,131,0.3,15.4,0.95,0.95,17,0.95,2,1.1,33.3,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
132,132,0.7,37.5,0.65,0.7,11,0.75,5,3.0,25.9,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
133,133,0.5,25.6,0.85,0.85,14,0.85,3,1.7,30.7,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
134,134,0.9,49.6,0.55,0.65,9,0.65,6,4.0,22.9,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
135,135,0.4,20.5,0.9,0.9,16,0.9,2,1.4,31.3,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
136,136,0.6,32.4,0.75,0.7,12,0.75,4,2.5,25.6,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
137,137,0.8,44.6,0.6,0.65,10,0.65,5,3.4,24.2,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
138,138,0.3,15.3,0.95,0.95,17,0.95,2,1.1,33.2,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
139,139,0.7,37.4,0.65,0.7,11,0.75,5,3.0,26.0,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
140,140,0.5,25.7,0.85,0.85,14,0.85,3,1.7,30.8,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
141,141,0.9,49.7,0.55,0.65,9,0.65,6,4.0,23.0,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
142,142,0.4,20.6,0.9,0.9,16,0.9,2,1.4,31.2,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
143,143,0.6,32.3,0.75,0.7,12,0.75,4,2.5,25.7,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
144,144,0.8,44.7,0.6,0.65,10,0.65,5,3.4,24.3,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
145,145,0.3,15.2,0.95,0.95,17,0.95,2,1.1,33.1,0,0.95,0.85,0.9,0.98,0.95,0.85,0.8,0.95,0.95,0.95,0.9,0.95,0,1
146,146,0.7,37.3,0.65,0.7,11,0.75,5,3.0,26.1,3,0.65,0.55,0.7,0.8,0.7,0.6,0.65,0.75,0.8,0.85,0.75,0.8,1,5
147,147,0.5,25.8,0.85,0.85,14,0.85,3,1.7,30.9,1,0.85,0.75,0.8,0.9,0.85,0.75,0.7,0.85,0.9,0.9,0.85,0.9,0,2
148,148,0.9,49.8,0.55,0.65,9,0.65,6,4.0,23.1,4,0.65,0.45,0.65,0.75,0.65,0.55,0.55,0.7,0.75,0.8,0.7,0.75,1,5
149,149,0.4,20.7,0.9,0.9,16,0.9,2,1.4,31.1,0,0.9,0.8,0.85,0.95,0.9,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0,1
150,150,0.6,32.2,0.75,0.7,12,0.75,4,2.5,25.8,2,0.7,0.6,0.7,0.85,0.75,0.65,0.6,0.75,0.85,0.9,0.8,0.85,0,3
151,151,0.8,44.8,0.6,0.65,10,0.65,5,3.4,24.4,3,0.65,0.5,0.65,0.8,0.7,0.6,0.55,0.7,0.75,0.85,0.75,0.8,1,4
